,Decision Tree,Random Forest
hr,0.6304160279052368,0.611823479969426
temp,0.11554415488378053,0.11891958545550231
yr,0.08359065638041276,0.08090851641334078
workingday,0.06371207279964371,0.058390854546026084
hum,0.02017839190230566,0.026534259299895658
atemp,0.018040809773040963,0.021697881102611647
season,0.02388979867279404,0.021510402143677543
weathersit,0.01593795670482825,0.01811830111739837
mnth,0.013743093428525697,0.016487065483745247
weekday,0.009067164169943312,0.012633383630134932
windspeed,0.00486139724256334,0.01039967489102044
holiday,0.001018476136925045,0.0025765959472210786
